Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
14,Cycler DC,2.228379629629629,0.49994994994994996,7.0,0.04954954954954955,0.20122622622622624,0.2987237237237237,0.24667167167167164,0.25337837837837834,0.1142970941489301,0.10272230588563828,0.9015828775700017,0.8696060169969433,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
15,Win-Shift Lose-Stay: D,2.122444444444444,0.5366616616616616,8.0,0.04354354354354354,0.21361361361361358,0.323048048048048,0.22750250250250253,0.23583583583583578,0.03658856159146276,0.9620931027461529,0.9549961888882758,0.0387602436364124,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
16,Bully,1.9900833333333334,0.5612112112112112,9.0,0.03153153153153153,0.19842342342342342,0.36278778778778775,0.22697697697697697,0.21181181181181186,0.038239061587161095,0.9526972905508769,0.03897745024022312,0.9642252337461584,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
17,Anti Tit For Tat,1.8794907407407406,0.5853603603603603,8.0,0.9594594594594594,0.20735735735735739,0.37800300300300305,0.20688188188188186,0.20775775775775776,0.04595176854791469,0.9570774538490741,0.04902345840348968,0.9592403747199492,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
18,Cooperator,1.6743055555555542,0.9615365365365366,1.0,0.9669669669669669,0.5492242242242242,0.4123123123123123,0.022297297297297302,0.016166166166166163,0.9612429664583294,0.9596320527138781,0.9749980705384167,0.9783346441025765,3.35,-0.83,5.47,1.78,0.04,0.0,37,60,noisy,19,1
0,Evolved FSM 16,3.1029639175257713,0.6701030927835051,1.0,1.0,0.5824742268041238,0.08762886597938145,0.327319587628866,0.002577319587628866,1.0,0.9696969696969697,1.0,0.0,2.72,-0.47,4.76,0.69,0.0,0.05,25,97,noisy,5,2
1,Grudger,2.70603092783505,0.5051546391752577,1.0,1.0,0.5,0.005154639175257732,0.24742268041237112,0.24742268041237112,1.0,0.0,0.0,0.0,2.72,-0.47,4.76,0.69,0.0,0.05,25,97,noisy,5,2
2,Win-Stay Lose-Shift,2.010773195876289,0.7525773195876289,0.0,1.0,0.5824742268041238,0.17010309278350516,0.08247422680412371,0.16494845360824742,1.0,0.0,0.0,1.0,2.72,-0.47,4.76,0.69,0.0,0.05,25,97,noisy,5,2
3,Suspicious Tit For Tat,1.6714690721649477,0.37371134020618557,2.0,0.0,0.14432989690721648,0.22938144329896906,0.2345360824742268,0.3917525773195876,1.0,0.0,1.0,0.0,2.72,-0.47,4.76,0.69,0.0,0.05,25,97,noisy,5,2
4,Bully,0.962087628865979,0.6958762886597938,1.0,0.0,0.14432989690721648,0.5515463917525774,0.1520618556701031,0.1520618556701031,0.0,1.0,0.0,1.0,2.72,-0.47,4.76,0.69,0.0,0.05,25,97,noisy,5,2
0,Grudger,2.2215450361604194,0.14630725399956168,12.0,0.9829059829059829,0.12931550880268827,0.016991745196873402,0.4046168456424866,0.4490759003579517,0.7287434478658724,0.026577828350042465,0.03882255472628144,0.01965517716660691,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
1,Evolved FSM 16,2.183793556870479,0.4136313828621521,10.0,0.9829059829059829,0.25361969464533574,0.16001168821681644,0.38021769303820585,0.20615092409964206,0.5533353891479966,0.41684328849506946,0.36358560293730097,0.31043900128182556,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
2,"DoubleCrosser: (D, D)",2.1828533859303083,0.43404193147782894,7.0,0.976068376068376,0.3703995909124114,0.0636423405654175,0.2799620132953466,0.2859960552268245,0.7954324898490621,0.6809103785000663,0.2587533127324079,0.037470711744835856,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
3,Defector,2.1590992767915833,0.020381328073635765,13.0,0.02564102564102564,0.009540506976404411,0.010840821097231352,0.4507122507122507,0.5289064212141136,0.024134124068097656,0.0207127188983283,0.020224487415533225,0.02073111804788154,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
4,Win-Stay Lose-Shift,1.6759829059829054,0.5281905179341077,6.0,0.9794871794871794,0.29747972824895913,0.2307107896851487,0.24308568923953544,0.22872379282635694,0.9761530745016651,0.020041976065566163,0.020402292330176177,0.9757334605816783,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
5,Soft Joss: 0.9,1.6481130834976991,0.6247059682957119,2.0,0.9726495726495726,0.43981298853093725,0.18489297976477467,0.14537219665424794,0.22992183505004016,0.9822362000647658,0.11609309481101818,0.9759917141016163,0.11472134295026708,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
6,Suspicious Tit For Tat,1.6035437212360295,0.5113156549053985,8.0,0.017094017094017096,0.3446124625611805,0.16670319234421796,0.17180217693038205,0.31688216816421944,0.9813696867795543,0.020060255669991436,0.9818077636644202,0.019369178493174342,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
7,GTFT: 0.33,1.550111768573307,0.7228869895536563,1.0,0.9743589743589743,0.49337424209219083,0.22951274746146538,0.10127839871429617,0.17583461173204767,0.981469040877581,0.3330718741649757,0.9814147845140936,0.32379520630635417,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
8,Meta Mixer: 13 players,1.3936423405654177,0.4403243480166557,8.0,0.6410256410256411,0.1929140185550442,0.24741032946161154,0.22780334575206374,0.33187230623128056,0.48783045217594423,0.414079646753054,0.48398449289472584,0.4215036435074767,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
9,Random: 0.5,1.265384615384615,0.5010300241069472,5.0,0.5196581196581197,0.20730513551026372,0.2937248885966834,0.20489444079187671,0.2940755351011761,0.5003986988388097,0.4916577638906572,0.5079585146277749,0.5022694276541025,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
10,Bully,1.147449046679815,0.5860179706333553,5.0,0.013675213675213675,0.160859083936007,0.42515888669734825,0.24441522390240336,0.16956680546424135,0.015713065777471336,0.9808993094924021,0.01963130732973408,0.9822757196368879,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
11,Win-Shift Lose-Stay: D,1.0954832347140033,0.563766527869092,5.0,0.02735042735042735,0.18801957776316752,0.3757469501059244,0.19618671926364234,0.2400467528672657,0.020653123716388607,0.9768947775918154,0.9807143212543146,0.021296971266878965,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
12,Anti Tit For Tat,1.0928073635765934,0.6031119877273723,5.0,0.9811965811965812,0.16635254583972536,0.4367594418876469,0.2288114544524801,0.16807655782014755,0.018800873649171143,0.9818638040242254,0.020746934042170585,0.979256382148904,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
13,Cooperator,0.9877646285338583,0.9805245087296369,0.0,0.9811965811965812,0.5331433998100665,0.44738110891957056,0.010329461611512894,0.009146029658850172,0.9812361377708138,0.9795393759362199,0.9893492039761551,0.9717069205624381,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,noisy,14,3
0,Suspicious Tit For Tat,2.0781159420289863,0.5567236873366596,3.0,0.0778688524590164,0.32721549061534805,0.22950819672131148,0.25118793062485156,0.19208838203848894,0.9224331384673757,0.07428000084094064,0.9173333971156301,0.06901298737744202,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,noisy,5,4
1,Random: 0.5,2.077463768115943,0.5026728439059159,3.0,0.5163934426229508,0.2759562841530055,0.22671655975291044,0.2700166310287479,0.22731052506533617,0.5102828889525763,0.5101435503652471,0.4947530137431297,0.4947992167945865,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,noisy,5,4
2,Meta Winner: 3 players,2.0731521739130443,0.5164528391541934,2.0,0.9221311475409836,0.2886671418389166,0.22778569731527679,0.26574008077928246,0.2178070800665241,0.6524542730419496,0.37085192482270646,0.6329312423240021,0.36360725600181465,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,noisy,5,4
3,Meta Mixer: 3 players,2.0210869565217404,0.5817296269897838,2.0,0.5,0.3369565217391305,0.24477310525065338,0.24210026134473744,0.17617011166547875,0.7647228665114691,0.3173253052495021,0.7857907169424534,0.3327544267909221,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,noisy,5,4
4,GTFT: 0.33,1.849166666666668,0.7001663102874792,0.0,0.9139344262295082,0.41933951057258256,0.28082679971489666,0.18056545497742932,0.11926823473509146,0.9175935463747927,0.3632832194574943,0.9267738675118412,0.3557616705879779,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,noisy,5,4
0,Evolved HMM 5,3.03626736111111,0.31358204134366924,11.0,0.9875968992248062,0.23147609819121448,0.08210594315245477,0.40269702842377253,0.2837209302325581,0.7599166644888604,0.34932173872744615,0.09847530205103835,0.14055389521366957,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,noisy,16,5
1,Evolved FSM 16,2.797347222222222,0.31641634366925064,10.0,0.9906976744186047,0.16585109819121446,0.15056524547803618,0.41786175710594314,0.26572189922480616,0.49680914376565405,0.38458175003503414,0.25237854085529016,0.2714864965929427,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,noisy,16,5
2,Grudger,2.786607638888887,0.0925952842377261,15.0,0.9844961240310077,0.07775355297157624,0.01484173126614987,0.4314195736434109,0.47598514211886306,0.6484432170537866,0.023951359239397174,0.03333308867363769,0.01992959937570781,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,noisy,16,5
3,Meta Winner: 14 players,2.6713472222222214,0.05377906976744186,14.0,0.9782945736434109,0.028423772609819122,0.025355297157622733,0.43888081395348844,0.5073401162790697,0.34156127399092284,0.390181137010475,0.04590688884662164,0.0950326726570335,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,noisy,16,5
