Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
1,Defector,2.179227457641953,0.02040055660471126,12.0,0.010256410256410256,0.00905111120888147,0.011174313494040218,0.4526299284950701,0.5271446468020082,0.04501032653206566,0.027002016071783513,0.018446953555699672,0.018948839928949815,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
2,Evolved FSM 16,2.1362126664643166,0.437868799841987,8.0,0.976068376068376,0.27620107590009046,0.16191847796849207,0.3720249096102519,0.18985553652116555,0.5878814111643909,0.40718717590671266,0.3739929769259926,0.369863467074631,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
3,"DoubleCrosser: (D, D)",2.1243294014662464,0.44274377809989435,6.0,0.9794871794871794,0.39436266862736546,0.06742708516099603,0.2794086344343079,0.2588016117773305,0.831176782592323,0.7116560163631781,0.3386344816792998,0.0647857403520315,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
4,Soft Joss: 0.9,1.7195922824308936,0.6440857503152585,2.0,0.9829059829059829,0.4622573287588475,0.1805477687194477,0.14131674378417206,0.2158781587375328,0.9808228018866681,0.11296640029267156,0.9791460432649253,0.13979074318456033,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
5,Suspicious Tit For Tat,1.6566083138209247,0.49841331363096825,7.0,0.011965811965811967,0.340322498337249,0.1666180391296286,0.1745022072260806,0.31855725530704193,0.9831955977482506,0.02137191889469782,0.9771245405374777,0.021016016703249707,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
6,Win-Stay Lose-Shift,1.6302360404463463,0.5551083367477284,5.0,0.9829059829059829,0.32429072800158976,0.23359964061028318,0.21272702169059318,0.22938260969753393,0.9808855743549626,0.019030018679962728,0.023006014043909145,0.9776048797958412,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
7,GTFT: 0.33,1.5533385815529726,0.7325275880189175,1.0,0.9794871794871794,0.49966709268489773,0.22925097958605253,0.1023167038742942,0.1687652238547555,0.9782677737550538,0.3478364756040432,0.9834401871361644,0.3286314424226749,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
8,Meta Mixer: 13 players,1.4949539219962644,0.4453176162409954,8.0,0.6564102564102564,0.2026017563468591,0.24342613749762745,0.23354435876262672,0.32042774739288676,0.5026979859911425,0.40292290133876185,0.483379191077622,0.4154970937235998,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
9,Random: 0.5,1.4119725872772535,0.503559404795559,5.0,0.46495726495726497,0.21089213300846749,0.29254735155609657,0.20667013521523872,0.28989038022019725,0.49784176019346954,0.493147616341398,0.5174129160287102,0.5087078231880287,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
10,Bully,1.2544121788717164,0.5740666899267308,6.0,0.015384615384615385,0.16430917945570014,0.41028794814903413,0.24862375690322083,0.17677911549204492,0.01940452910983982,0.9791422453824546,0.01905060158996444,0.9845420496576396,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
11,Win-Shift Lose-Stay: D,1.180740467869192,0.5713857078561785,6.0,0.015384615384615385,0.19111237208080184,0.3718167744483992,0.20132439056480383,0.2357464629059951,0.02737213410468284,0.9825974396039526,0.9824542580265678,0.01918290513818043,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
12,Anti Tit For Tat,1.1519003709965239,0.5960431480675277,5.0,0.9914529914529915,0.17292226493814733,0.4314188420242686,0.2245215691248921,0.1711373239126919,0.02041103549276284,0.9823332055470723,0.019915944628062832,0.9832427856398426,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
13,Cooperator,1.085945331809488,0.9798200095259583,1.0,0.9794871794871794,0.5488885860974821,0.43085885506682825,0.011532479671207945,0.008720079164481672,0.9820447218689993,0.9820855264836456,0.9835500395345891,0.9885249366018597,2.46,-0.84,4.09,0.58,0.02,0.01,45,117,prob_noisy,14,3
0,Suspicious Tit For Tat,2.1995995169082123,0.551768906199286,2.0,0.08196721311475409,0.32198072751398127,0.2286946895207662,0.27295698733947216,0.17636759562578042,0.9283943180973415,0.08277430284330574,0.9318298690325608,0.09649687766001522,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,prob_noisy,5,4
1,Random: 0.5,2.1204017857142854,0.49485220856858186,2.0,0.4672131147540984,0.275370927945308,0.21886412638956476,0.27545782323970003,0.23030712242542717,0.49229131936801906,0.5124370481176763,0.487420293743949,0.4964544314693082,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,prob_noisy,5,4
2,Meta Mixer: 3 players,2.0970238095238094,0.5756345177664974,1.0,0.5204918032786885,0.3339489467785107,0.23887601296122662,0.24774601458058,0.17942902567968272,0.7785764619714916,0.31609675503966855,0.7648202652930151,0.3128118748710012,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,prob_noisy,5,4
3,Meta Winner: 3 players,1.9351666666666667,0.5822002472187886,1.0,0.9098360655737705,0.3257745568758442,0.2525357358828067,0.2531913655249217,0.16849834171642752,0.7402279727690326,0.3174118884605207,0.6885579853703139,0.39685648483497704,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,prob_noisy,5,4
4,GTFT: 0.33,1.8366666666666664,0.7066152477009789,0.0,0.9016393442622951,0.42816116133838006,0.27895549733883485,0.1685738714085253,0.12430946991425987,0.9277872970211339,0.3462185715632407,0.9304243827160494,0.32090518184945427,2.65,-0.89,4.44,1.54,0.08,0.08,61,69,prob_noisy,5,4
0,Evolved FSM 16,3.0695803719174015,0.507201646090535,7.0,0.9798449612403101,0.3855950596509607,0.13356778246573595,0.3093771741596163,0.17145998372368706,0.6868764262423878,0.3720022509565266,0.40959106942947987,0.3436007342275182,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,prob_noisy,16,5
1,Evolved HMM 5,3.0505181398327705,0.48082763857251326,7.0,0.9736434108527132,0.3974398551130104,0.09636829242075105,0.3120665767453391,0.19412527572089935,0.8772131706997794,0.3669962841591263,0.14516444961762026,0.14618192945508895,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,prob_noisy,16,5
2,Grudger,2.900248806974669,0.33881035432348083,8.0,0.9751937984496124,0.29270953319017085,0.04890950996509688,0.3341901014530507,0.32419085539168147,0.8154131274485722,0.053757559111330906,0.07500692823541323,0.016980977925358045,3.83,-0.47,4.79,0.92,0.02,0.06,43,192,prob_noisy,16,5
