Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate,R,S,T,P,noise,prob_end,repetitions,turns,tournament,n_strategies,run
9,Random: 0.5,3.586697612732096,0.5081786030061892,6.0,0.5,0.2546419098143235,0.2535366931918656,0.2380636604774535,0.2537577365163572,0.5017510714251311,0.4940185098255124,0.5156880669913995,0.5097322585153162,3.9,1.73,5.53,3.26,0.0,0.03,12,29,noisy,14,7
10,Tit For 2 Tats,3.5786737400530515,0.899867374005305,0.0,1.0,0.7365163572060123,0.1633510167992926,0.0426613616268788,0.057471264367816,1.0,0.7325749186214303,1.0,0.0,3.9,1.73,5.53,3.26,0.0,0.03,12,29,noisy,14,7
11,Bully,3.455702917771884,0.5289566755083996,7.0,0.0,0.157603890362511,0.3713527851458886,0.291998231653404,0.1790450928381963,0.0,1.0,0.0,1.0,3.9,1.73,5.53,3.26,0.0,0.03,12,29,noisy,14,7
12,Win-Shift Lose-Stay: D,3.406405835543767,0.6319628647214854,6.5,0.0,0.2360742705570291,0.3958885941644562,0.2623784261715297,0.1056587091069849,0.0,1.0,1.0,0.0,3.9,1.73,5.53,3.26,0.0,0.03,12,29,noisy,14,7
13,Anti Tit For Tat,3.2087002652519896,0.6164898320070734,5.0,1.0,0.1828028293545535,0.4336870026525198,0.2150751547303271,0.1684350132625994,0.0,1.0,0.0,1.0,3.9,1.73,5.53,3.26,0.0,0.03,12,29,noisy,14,7
0,Evolved HMM 5,5.048802395209572,0.3636015418555601,10.0,0.9336032388663968,0.2376300031515915,0.1259715387039685,0.3144270164125191,0.3219714417319207,0.7375473311410672,0.3444186053040504,0.1509105542197306,0.2076839675206977,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
1,Defector,5.022068171349599,0.070168973793304,13.0,0.0680161943319838,0.0285679652840068,0.0416010085092972,0.3786564522776309,0.5511745739290649,0.0695743835642831,0.0642379556256031,0.071374583319374,0.0703038072701455,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
2,Meta Winner: 13 players,5.015886688162127,0.0857329874663628,12.0,0.9336032388663968,0.0384930543770758,0.047239933089287,0.3727557031685616,0.5415113093650755,0.1978498880453854,0.1342520808717573,0.0775773548347749,0.0797950891110671,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
3,Tit For Tat,4.938281897742968,0.545050789110039,7.0,0.9279352226720649,0.3677083080801959,0.1773424810298431,0.1816771315668258,0.2732720793231351,0.9288989094486876,0.0710323367941964,0.9312309402397716,0.0679204804517246,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
4,Soft Joss: 0.9,4.916586826347298,0.5919658658391719,4.0,0.9222672064777327,0.3940265218550752,0.1979393439840966,0.1662925161822104,0.2417416179786176,0.929139554540214,0.1535422786053103,0.931713070691098,0.1529046639362473,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
5,Tit For 2 Tats,4.890267157991702,0.7032073504812237,1.0,0.9384615384615383,0.4857572304783146,0.2174501200029091,0.08905428010376,0.207738369415016,0.9281134054168028,0.6570006921828077,0.9315572102824388,0.3342089793195145,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
6,"ZD-Extort-2: 0.1111111111111111, 0.5",4.872726853984331,0.4501442459211132,9.0,0.9295546558704454,0.2809231738951247,0.1692210720259885,0.1982302601275182,0.3516254939513685,0.8754992908078711,0.7274866369269191,0.2747322782897872,0.0698829969625894,5.65,3.11,5.93,4.51,0.07,0.04,95,167,noisy,14,8
